block_id,block_name,block_name,GaPa_NaPa,Compound_Score,Risk_Category,Degradation_Rate,Trend_Status
154,Bishnupur,Unknown,Unknown,0.5203739670582574,Moderate,2.386856798200869,Worsening
155,Tilathi Koiladi,Unknown,Unknown,0.5505918010817263,High,2.603624336401441,Worsening
156,Rajbiraj,Unknown,Unknown,0.575653705455315,Critical,2.681778763176281,Worsening
157,Tirahut,Unknown,Unknown,0.5589368159693682,Critical,2.472041630274576,Worsening
158,Kanchanrup,Unknown,Unknown,0.5281581759870673,Moderate,1.8230130281028747,Worsening
159,Kanchanrup,Unknown,Unknown,0.51159449542671,Low,1.7529522346896258,Worsening
160,Khadak,Unknown,Unknown,0.5157620086092741,Moderate,1.9673611099499524,Worsening
161,Tilathi Koiladi,Unknown,Unknown,0.5555398007605555,High,2.3891165897630318,Worsening
162,Tilathi Koiladi,Unknown,Unknown,0.5558853318449338,High,2.6367434227968913,Worsening
163,Rajbiraj,Unknown,Unknown,0.52198369482358,Moderate,2.2907031565948515,Worsening
164,Bishnupur,Unknown,Unknown,0.5434568964120077,High,2.482910050514189,Worsening
